Sno,Province,District,Stunting_MICS,WASTING_MICS,Exclusive_breasfeeding,Access_to_electricity,Households_with_a_telephone,Households_with_a_computer/_Laptop/_Tablet,Households_with_internet,Ownership_of_mobile_phone_women,ICT_skills_Women_(15-49),Neonatal_mortality_rate__(per_thousands),Infant_Mortality_Rate_(per_thousands),ANC_(Health_Professional),Antenatal_care_coverage-Atleast_4_times_by_any_provider,Skilled_attendant_at_delivery,Institutional_deliveries,"DTP,_HepB_and_Hib_(PENTA)_immunization_coverage",Measles_immunization_coverage,No_Vaccination,Early_Initiation_Breasfeeding_(1hour),Net_attendance-Primary,OOSC__(primary),Birth_registration,Child_labour,Basic_drinking_water_facility,Acess_to_safe_drinking_water,Basic_sanitation,Open_Defecation,Minimum_Acceptabe_Diet_(MAD)_All_children,Zero_dose_(no_DTP3),Content_of_antenatal_care,Skin_to_skin_Care,Literacy_rate_women_(15-49),Women_having_births_last_2-yrs,Improved_main_material_for_roof,Improved_main_material_for_floor,Improved_main_material_for_wall
1,KP,Abbotabad,24.9,3.9,53.4,99.7,98,14.9,17.2,65.1,25.6,14,22.6,89.1,71.5,77.3,72.5,82.3,76.2,12.4,16.9,72.6,8.6,74.6,1.5,83.3,2.8,89.7,0.8,31.6,12.4,82.6,1.1,74.2,15.8,83.8,86.3,84.3
2,KP,Bajor,42.6,12.2,73.7,99.4,98.5,2.8,3.5,29.8,10.1,16,21.8,46.7,33.3,53.6,49.1,51.5,37.7,31.7,43.1,29.3,58.4,9.3,4.9,81.5,16.7,55.3,22.5,16.8,41.7,37.2,0.5,9.5,26.9,12.6,44.8,32.3
3,KP,Bannu,38.3,14.7,33.1,96.5,95,5.9,21.6,22.5,14.7,33,55.5,60.8,17.5,74.6,60.7,14.7,9.2,35.9,11.8,41.2,35.3,9.8,6.9,90,5.5,67.6,20.3,3.4,58.3,36.5,0.8,27,24.3,22.5,76.5,62.1
4,KP,Batagram,45.2,7.9,16.4,95.2,92,1.8,2.8,35.8,4.5,25.9,43.3,31.1,17.8,56.1,52.2,23.9,11.4,37.5,14.4,24.2,63.3,8.6,3.5,72.3,2,64.2,24.1,5.6,56.8,22.2,0,10.6,21.4,34.7,67.3,44.8
5,KP,Buner,36.4,9.4,65.2,93.9,95.4,4.4,19.4,27.8,12.4,26.8,43.5,86.2,67.5,94.7,86.4,77.6,42.6,14.7,7.8,52,29.1,34.2,4.8,78.8,16.7,75.6,11.2,12.1,18.2,70.2,1.8,25.4,24.6,50.5,79.4,71.5
6,KP,Charsadda,35,9.4,62.1,99.5,93,7.7,29.6,30.3,8,27.2,34.9,79.3,43.7,93.5,72.6,81.3,35.7,8.7,12.7,50.7,20.5,29.5,6.3,96.5,31.3,85.6,3.8,4.6,11.3,55.6,0,34,25.7,29.8,72.6,84.8
7,KP,Chitral,46.6,10.3,49.2,97.8,95.9,8.9,6.2,46.8,7.3,30.7,41,80.7,35,72.6,64.8,95.8,76.9,0.7,37.3,64.1,15.4,48.4,5.1,84.1,13.4,87.7,8.2,24.8,2.1,77.4,3.1,53.6,21.2,37.5,56.6,17.3
8,KP,Upper Chitral,46.6,10.3,49.2,97.8,95.9,8.9,6.2,46.8,7.3,30.7,41,80.7,35,72.6,64.8,95.8,76.9,0.7,37.3,64.1,15.4,48.4,5.1,84.1,13.4,87.7,8.2,24.8,2.1,77.4,3.1,53.6,21.2,37.5,56.6,17.3
9,KP,Dera Ismail Khan,40.6,32.4,45.2,97.9,91.7,5.1,8.9,22.5,9.2,18.8,31.4,54.1,23.6,58.6,49.1,34.9,15.2,28.5,24.1,45.8,38,12.8,4.7,85.4,16.5,70.6,7.8,0.7,50.3,25.8,0.9,26.3,21.4,30.8,58.2,52.1
10,KP,Hangu,48.5,12.6,42.2,97.4,97.1,13.2,23.6,38.4,8.6,13.4,34.2,63.6,47.6,89.5,73.8,23.2,16.5,55.7,18.2,45.4,47.1,26.3,7.9,88.2,0,80.5,4.3,11.5,72.4,54.9,1.3,17.4,18.6,35.7,75.8,68
11,KP,Hari Pur,30.4,10.9,36.2,99.6,97.1,22.3,46.9,58.5,29.3,20.5,36.7,87.6,68.2,83,76.5,89.1,43.6,1.8,18.7,80.6,5.1,69.1,10.4,90.1,22.5,83.7,3.1,27.3,5.4,79.4,3.8,70.8,18.8,82.7,92.9,92.1
12,KP,Karak,31.6,9.3,24.9,95.6,99.2,10.9,31.9,41.4,10.1,30.7,36.7,69.6,44.1,77.8,65.6,46,20.3,22,10.3,57.4,20.3,43.2,11,70.8,24.4,76.4,12.7,7.1,42,53.8,0.3,45.2,27,30,84.1,77.3
13,KP,Khyber,43.3,14.4,57.3,93.8,98.3,4.1,5,18.9,19.8,19.7,26.6,76.5,27.7,69,67.8,54.1,32.4,19.9,21.8,24.6,60.1,12.7,5.3,83.4,0,61.5,17.3,14.7,27,43.3,1.1,5.4,28.8,15.5,41.3,51.7
14,KP,Kohat,28.7,19.3,37.8,98.8,95.5,10.7,31,33.7,13.1,12,20.8,55.5,19.3,82.9,64.1,29.9,15.1,43.5,30.1,48.2,39.1,40.5,4.1,84.9,7.3,80.2,6.3,0,55.9,34.9,1.7,28.8,18.5,48.6,78.5,64.8
